,PLAYER,PLAYER_ID
0,Jacob Toppin,1631210
1,Jalen Johnson,1630552
2,Keaton Wallace,1630811
3,Caris LeVert,1627747
4,Kobe Bufkin,1641723
5,Dyson Daniels,1630700
6,Zaccharie Risacher,1642258
7,Trae Young,1629027
8,Terance Mann,1629611
9,Clint Capela,203991
10,Onyeka Okongwu,1630168
11,Mouhamed Gueye,1631243
12,Georges Niang,1627777
13,Larry Nance Jr.,1626204
14,Garrison Mathews,1629726
15,Dominick Barlow,1631230
16,Vít Krejčí,1630249
17,Daeqwon Plowden,1631342
18,Jayson Tatum,1628369
19,Miles Norris,1641936
20,Jrue Holiday,201950
21,Jaylen Brown,1627759
22,Kristaps Porziņģis,204001
23,Derrick White,1628401
24,Payton Pritchard,1630202
25,Torrey Craig,1628470
26,Drew Peterson,1641809
27,JD Davison,1631120
28,Xavier Tillman,1630214
29,Jordan Walsh,1641775
30,Sam Hauser,1630573
31,Luke Kornet,1628436
32,Al Horford,201143
33,Baylor Scheierman,1631248
34,Neemias Queta,1629674
35,Max Strus,1629622
36,Ty Jerome,1629660
37,Evan Mobley,1630596
38,Sam Merrill,1630241
39,Javonte Green,1629750
40,Craig Porter Jr.,1641854
41,Darius Garland,1629636
42,De'Andre Hunter,1629631
43,Tristan Thompson,202684
44,Chuma Okeke,1629643
45,Emoni Bates,1641734
46,Jaylon Tyson,1642281
47,Nae'Qwan Tomlin,1641772
48,Jarrett Allen,1628386
49,Dean Wade,1629731
50,Luke Travers,1631247
51,Isaac Okoro,1630171
52,Donovan Mitchell,1628378
53,Keion Brooks Jr.,1631232
54,Bruce Brown,1628971
55,Zion Williamson,1629627
56,Herbert Jones,1630529
57,CJ McCollum,203468
58,Elfrid Payton,203901
59,Dejounte Murray,1627749
60,Jamal Cain,1631288
61,Brandon Boston,1630527
62,Antonio Reeves,1641810
63,Kelly Olynyk,203482
64,Jose Alvarado,1630631
65,Karlo Matković,1631255
66,Yves Missi,1642274
67,Lester Quinones,1631311
68,Jordan Hawkins,1641722
69,Trey Murphy III,1630530
70,Jeremiah Robinson-Earl,1630526
71,Coby White,1629632
72,Lonzo Ball,1628366
73,Josh Giddey,1630581
74,Jevon Carter,1628975
75,Jalen Smith,1630188
76,Nikola Vučević,202696
77,Ayo Dosunmu,1630245
78,Jahmir Young,1642443
79,Zach Collins,1628380
80,Kevin Huerter,1628989
81,Matas Buzelis,1641824
82,Julian Phillips,1641763
83,Emanuel Miller,1641801
84,Talen Horton-Tucker,1629659
85,Dalen Terry,1631207
86,Tre Jones,1630200
87,E.J. Liddell,1630604
88,Patrick Williams,1630172
89,Danté Exum,203957
90,Max Christie,1631108
91,Jaden Hardy,1630702
92,Dereck Lively II,1641726
93,Anthony Davis,203076
94,Dwight Powell,203939
95,Olivier-Maxence Prosper,1641765
96,Brandon Williams,1630314
97,Kyrie Irving,202681
98,Naji Marshall,1630230
99,Caleb Martin,1628997
100,Kessler Edwards,1630556
101,Daniel Gafford,1629655
102,Kai Jones,1630539
103,P.J. Washington,1629023
104,Spencer Dinwiddie,203915
105,Klay Thompson,202691
106,Christian Braun,1631128
107,Michael Porter Jr.,1629008
108,Julian Strawther,1631124
109,Russell Westbrook,201566
110,Hunter Tyson,1641816
111,DeAndre Jordan,201599
112,Peyton Watson,1631212
113,Dario Šarić,203967
114,PJ Hall,1641790
115,DaRon Holmes II,1641747
116,Nikola Jokić,203999
117,Spencer Jones,1642461
118,Zeke Nnaji,1630192
119,Trey Alexander,1641725
120,Jalen Pickett,1629618
121,Jamal Murray,1627750
122,Vlatko Čančar,1628427
123,Aaron Gordon,203932
124,Gary Payton II,1627780
125,Jonathan Kuminga,1630228
126,Taran Armstrong,1642379
127,Brandin Podziemski,1641764
128,Moses Moody,1630541
129,Kevon Looney,1626172
130,Buddy Hield,1627741
131,Jimmy Butler III,202710
132,Braxton Key,1630296
133,Gui Santos,1630611
134,Quinten Post,1642366
135,Draymond Green,203110
136,Stephen Curry,201939
137,Kevin Knox II,1628995
138,Trayce Jackson-Davis,1631218
139,Jackson Rowe,1642050
140,Pat Spencer,1630311
141,Aaron Holiday,1628988
142,Amen Thompson,1641708
143,Jock Landale,1629111
144,N'Faly Dante,1642368
145,Jalen Green,1630224
146,Fred VanVleet,1627832
147,Cam Whitmore,1641715
148,Jae'Sean Tate,1630256
149,Dillon Brooks,1628415
150,Jabari Smith Jr.,1631095
151,Steven Adams,203500
152,Reed Sheppard,1642263
153,Tari Eason,1631106
154,Nate Williams,1631466
155,Alperen Sengun,1630578
156,Jeff Green,201145
157,David Roddy,1631223
158,Jack McVeigh,1629098
159,James Harden,201935
160,Kawhi Leonard,202695
161,Seth Lundy,1641754
162,Amir Coffey,1629599
163,Kris Dunn,1627739
164,Trentyn Flowers,1642280
